Hillhead, 55.875833, -4.292222
Kelvinbridge, 55.874167, -4.280556
St George's Cross, 55.871944, -4.269722
Cowcaddens,55.868333, -4.259167
Buchanan St,55.856944, -4.255833  
St Enoch, 55.856944, -4.255833 
Bridge Street,55.851667, -4.258611
West Street,55.85, -4.265278  
Shield's Road,55.850278, -4.274444  
Kinning Park,55.850833, -4.288056 
Cessnock,55.8525, -4.295833 
Ibrox,55.854444, -4.305278  
Govan,55.8625, -4.311389  
Partick,55.8698, -4.3092  
Kelvinhall,55.871111, -4.300556
